Tamanho,Operacao,Tipo,Tempo_medio
100,Soma,Sequencial,0.000533
100,Soma,Paralelo,0.000532
100,Multiplicacao,Sequencial,0.001062
100,Multiplicacao,Paralelo,0.000526
100,Transposicao,Sequencial,0.000000
100,Transposicao,Paralelo,0.001101
100,Soma,Sequencial,0.000000
100,Soma,Paralelo,0.000000
100,Multiplicacao,Sequencial,0.001565
100,Multiplicacao,Paralelo,0.000724
100,Transposicao,Sequencial,0.000000
100,Transposicao,Paralelo,0.000000
100,Soma,Sequencial,0.000000
100,Soma,Paralelo,0.000000
100,Multiplicacao,Sequencial,0.001117
100,Multiplicacao,Paralelo,0.000559
100,Transposicao,Sequencial,0.000519
100,Transposicao,Paralelo,0.000058
100,Soma,Sequencial,0.000062
100,Soma,Paralelo,0.000000
100,Multiplicacao,Sequencial,0.001150
100,Multiplicacao,Paralelo,0.000506
100,Transposicao,Sequencial,0.000617
100,Transposicao,Paralelo,0.000504
100,Soma,Sequencial,0.000000
100,Soma,Paralelo,0.000524
100,Multiplicacao,Sequencial,0.001056
100,Multiplicacao,Paralelo,0.000529
100,Transposicao,Sequencial,0.000531
100,Transposicao,Paralelo,0.000060
100,Soma,Sequencial,0.000062
100,Soma,Paralelo,0.000000
100,Multiplicacao,Sequencial,0.001130
100,Multiplicacao,Paralelo,0.000507
100,Transposicao,Sequencial,0.000000
100,Transposicao,Paralelo,0.000000
100,Soma,Sequencial,0.000509
100,Soma,Paralelo,0.000000
100,Multiplicacao,Sequencial,0.001124
100,Multiplicacao,Paralelo,0.000879
100,Transposicao,Sequencial,0.000000
100,Transposicao,Paralelo,0.000000
100,Soma,Sequencial,0.000507
100,Soma,Paralelo,0.000000
100,Multiplicacao,Sequencial,0.001056
100,Multiplicacao,Paralelo,0.000727
100,Transposicao,Sequencial,0.000000
100,Transposicao,Paralelo,0.000506
100,Soma,Sequencial,0.000000
100,Soma,Paralelo,0.000000
100,Multiplicacao,Sequencial,0.001727
100,Multiplicacao,Paralelo,0.000744
100,Transposicao,Sequencial,0.000000
100,Transposicao,Paralelo,0.000000
100,Soma,Sequencial,0.000000
100,Soma,Paralelo,0.000000
100,Multiplicacao,Sequencial,0.001142
100,Multiplicacao,Paralelo,0.000503
100,Transposicao,Sequencial,0.000000
100,Transposicao,Paralelo,0.000000
1000,Soma,Sequencial,0.008551
1000,Soma,Paralelo,0.002985
1000,Multiplicacao,Sequencial,3.536782
1000,Multiplicacao,Paralelo,1.884188
1000,Transposicao,Sequencial,0.008523
1000,Transposicao,Paralelo,0.001998
1000,Soma,Sequencial,0.004353
1000,Soma,Paralelo,0.001003
1000,Multiplicacao,Sequencial,3.741037
1000,Multiplicacao,Paralelo,1.868753
1000,Transposicao,Sequencial,0.006180
1000,Transposicao,Paralelo,0.004519
1000,Soma,Sequencial,0.004222
1000,Soma,Paralelo,0.002002
1000,Multiplicacao,Sequencial,2.960505
1000,Multiplicacao,Paralelo,1.815884
1000,Transposicao,Sequencial,0.008601
1000,Transposicao,Paralelo,0.004509
1000,Soma,Sequencial,0.004027
1000,Soma,Paralelo,0.001979
1000,Multiplicacao,Sequencial,3.560750
1000,Multiplicacao,Paralelo,1.938782
1000,Transposicao,Sequencial,0.011731
1000,Transposicao,Paralelo,0.003006
1000,Soma,Sequencial,0.003027
1000,Soma,Paralelo,0.002524
1000,Multiplicacao,Sequencial,3.069075
1000,Multiplicacao,Paralelo,1.846768
1000,Transposicao,Sequencial,0.004513
1000,Transposicao,Paralelo,0.003524
1000,Soma,Sequencial,0.003797
1000,Soma,Paralelo,0.001010
1000,Multiplicacao,Sequencial,3.376623
1000,Multiplicacao,Paralelo,1.949594
1000,Transposicao,Sequencial,0.004518
1000,Transposicao,Paralelo,0.001513
1000,Soma,Sequencial,0.003124
1000,Soma,Paralelo,0.001007
1000,Multiplicacao,Sequencial,3.454958
1000,Multiplicacao,Paralelo,1.892973
1000,Transposicao,Sequencial,0.003703
1000,Transposicao,Paralelo,0.003072
1000,Soma,Sequencial,0.002600
1000,Soma,Paralelo,0.002958
1000,Multiplicacao,Sequencial,2.938983
1000,Multiplicacao,Paralelo,1.983318
1000,Transposicao,Sequencial,0.005514
1000,Transposicao,Paralelo,0.003511
1000,Soma,Sequencial,0.004649
1000,Soma,Paralelo,0.000906
1000,Multiplicacao,Sequencial,3.943164
1000,Multiplicacao,Paralelo,1.958969
1000,Transposicao,Sequencial,0.007484
1000,Transposicao,Paralelo,0.002005
1000,Soma,Sequencial,0.002520
1000,Soma,Paralelo,0.003005
1000,Multiplicacao,Sequencial,4.122658
1000,Multiplicacao,Paralelo,1.981502
1000,Transposicao,Sequencial,0.006358
1000,Transposicao,Paralelo,0.003999
